Project,BugID,Filename,Path,Method name,Path,Exception,Label,,Unique Exception,,Filename,,,Method name
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource,drag,org.eclipse.swt.dnd.DragSource,SQL Exception,,,JavascriptCommonError,,DataViewTreeViewerPage.java,,,doAction
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource,access$0,org.eclipse.swt.dnd.DragSource,SQL Exception,,,NoSuchMethodError,,RunnableLock.java,,,run
Birt,116355,DragSource.java,org.eclipse.swt.dnd.DragSource$1,handleEvent,org.eclipse.swt.dnd.DragSource$1,SQL Exception,,,FileNotFoundException,,Synchronizer.java,,,doubleClick
Birt,116355,EventTable.java,org.eclipse.swt.widgets.EventTable,sendEvent,org.eclipse.swt.widgets.EventTable,SQL Exception,,,InterruptedException,,Statement.java,,,run
Birt,116355,Widget.java,org.eclipse.swt.widgets.Widget,sendEvent,org.eclipse.swt.widgets.Widget,SQL Exception,,,OutOfMemoryError,,OdaQuery.java,,,run
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,dragDetect,org.eclipse.swt.widgets.Display,SQL Exception,,,MalformedURLException,,Util.java,,,run
Birt,116355,Control.java,org.eclipse.swt.widgets.Control,kEventMouseDragged,org.eclipse.swt.widgets.Control,SQL Exception,,,UTFDataFormatException,,TransactionResourceImpl.java,,,run
Birt,116355,Widget.java,org.eclipse.swt.widgets.Widget,mouseProc,org.eclipse.swt.widgets.Widget,SQL Exception,,,ThemeException,,EmbedConnection.java,,,run
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,mouseProc,org.eclipse.swt.widgets.Display,SQL Exception,,,CrosstabException,,ConnectionChild.java,,,fireDoubleClick
Birt,116355,Native Method,org.eclipse.swt.internal.carbon.OS,SendEventToEventTarget,org.eclipse.swt.internal.carbon.OS,SQL Exception,,,ArithmeticException,,EmbedPreparedStatement.java,,,handleDoubleSelect
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,readAndDispatch,org.eclipse.swt.widgets.Display,SQL Exception,,,BasicEList$BasicIndexOutOfBoundsException,,EmbedPreparedStatement20.java,,,widgetDefaultSelected
Birt,116355,Window.java,org.eclipse.jface.window.Window,runEventLoop,org.eclipse.jface.window.Window,SQL Exception,,,,,EmbedPreparedStatement30.java,,,fireDefaultSelectionEvent
Birt,116355,Window.java,org.eclipse.jface.window.Window,open,org.eclipse.jface.window.Window,SQL Exception,,,,,Driver30.java,,,access$0
Birt,116355,BaseDialog.java,org.eclipse.birt.report.designer.internal.ui.dialogs.BaseDialog,open,org.eclipse.birt.report.designer.internal.ui.dialogs.BaseDialog,SQL Exception,,,,,Unknown Source,,,handleEvent
Birt,116355,DataSetNodeProvider.java,org.eclipse.birt.report.designer.internal.ui.views.data.providers.DataSetNodeProvider,performEdit,org.eclipse.birt.report.designer.internal.ui.views.data.providers.DataSetNodeProvider,SQL Exception,,,,,Unknown Source,,,runDeferredEvents
Birt,116355,DefaultNodeProvider.java,org.eclipse.birt.report.designer.internal.ui.views.DefaultNodeProvider,performRequest,org.eclipse.birt.report.designer.internal.ui.views.DefaultNodeProvider,SQL Exception,,,,,HttpServlet.java,,,prepareOdaQuery
Birt,116355,EditAction.java,org.eclipse.birt.report.designer.internal.ui.views.actions.EditAction,doAction,org.eclipse.birt.report.designer.internal.ui.views.actions.EditAction,SQL Exception,,,,,AxisServletBase.java,,,prepareStatement
Birt,116355,AbstractElementAction.java,org.eclipse.birt.report.designer.internal.ui.views.actions.AbstractElementAction,run,org.eclipse.birt.report.designer.internal.ui.views.actions.AbstractElementAction,SQL Exception,,,,,StubSecurityHelper.java,,,prepareStatement
Birt,116355,RenameListener.java,org.eclipse.birt.report.designer.internal.ui.views.RenameListener,doubleClick,org.eclipse.birt.report.designer.internal.ui.views.RenameListener,SQL Exception,,,,,StubSecurityHelper.java,,,prepare
Birt,116355,StructuredViewer.java,org.eclipse.jface.viewers.StructuredViewer$1,run,org.eclipse.jface.viewers.StructuredViewer$1,SQL Exception,,,,,ServletStubImpl.java,,,prepareOdiQuery
Birt,116355,InternalPlatform.java,org.eclipse.core.internal.runtime.InternalPlatform,run,org.eclipse.core.internal.runtime.InternalPlatform,SQL Exception,,,,,WebAppServletContext.java,,,prepareExecution
Birt,116355,Platform.java,org.eclipse.core.runtime.Platform,run,org.eclipse.core.runtime.Platform,SQL Exception,,,,,AuthenticatedSubject.java,,,access$000
Birt,116355,JFaceUtil.java,org.eclipse.ui.internal.JFaceUtil$1,run,org.eclipse.ui.internal.JFaceUtil$1,SQL Exception,,,,,SecurityManager.java,,,doPrepare
Birt,116355,SafeRunnable.java,org.eclipse.jface.util.SafeRunnable,run,org.eclipse.jface.util.SafeRunnable,SQL Exception,,,,,WebAppServletContext.java,,,execute
Birt,116355,StructuredViewer.java,org.eclipse.jface.viewers.StructuredViewer,fireDoubleClick,org.eclipse.jface.viewers.StructuredViewer,SQL Exception,,,,,ServletRequestImpl.java,,,execute
Birt,116355,StructuredViewer.java,org.eclipse.jface.viewers.StructuredViewer,handleDoubleSelect,org.eclipse.jface.viewers.StructuredViewer,SQL Exception,,,,,ExecuteThread.java,,,getColumns
Birt,116355,StructuredViewer.java,org.eclipse.jface.viewers.StructuredViewer$4,widgetDefaultSelected,org.eclipse.jface.viewers.StructuredViewer$4,SQL Exception,,,,,ReportEngineHelper.java,,,refresh
Birt,116355,OpenStrategy.java,org.eclipse.jface.util.OpenStrategy,fireDefaultSelectionEvent,org.eclipse.jface.util.OpenStrategy,SQL Exception,,,,,ReportEngine.java,,,run
Birt,116355,OpenStrategy.java,org.eclipse.jface.util.OpenStrategy,access$0,org.eclipse.jface.util.OpenStrategy,SQL Exception,,,,,Unknown Source,,,run
Birt,116355,OpenStrategy.java,org.eclipse.jface.util.OpenStrategy$1,handleEvent,org.eclipse.jface.util.OpenStrategy$1,SQL Exception,,,,,Unknown Source,,,runAsyncMessages
Birt,116355,Widget.java,org.eclipse.swt.widgets.Widget,notifyListeners,org.eclipse.swt.widgets.Widget,SQL Exception,,,,,Unknown Source,,,runAsyncMessages
Birt,116355,Display.java,org.eclipse.swt.widgets.Display,runDeferredEvents,org.eclipse.swt.widgets.Display,SQL Exception,,,,,ICUResourceBundle.java,,,prepare
Birt,116355,Workbench.java,org.eclipse.ui.internal.Workbench,runEventLoop,org.eclipse.ui.internal.Workbench,SQL Exception,,,,,CalendarData.java,,,doPrepare
Birt,116355,Workbench.java,org.eclipse.ui.internal.Workbench,runUI,org.eclipse.ui.internal.Workbench,SQL Exception,,,,,Calendar.java,,,prepare
Birt,116355,Workbench.java,org.eclipse.ui.internal.Workbench,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,SQL Exception,,,,,__error.java,,,generateCsSQLException
Birt,116355,PlatformUI.java,org.eclipse.ui.PlatformUI,createAndRunWorkbench,org.eclipse.ui.PlatformUI,SQL Exception,,,,,JspBase.java,,,wrapInSQLException
Birt,116355,IDEApplication.java,org.eclipse.ui.internal.ide.IDEApplication,run,org.eclipse.ui.internal.ide.IDEApplication,SQL Exception,,,,,RequestDispatcherImpl.java,,,handleException
Birt,116355,PlatformActivator.java,org.eclipse.core.internal.runtime.PlatformActivator$1,run,org.eclipse.core.internal.runtime.PlatformActivator$1,SQL Exception,,,,,Unknown Source,,,handleException
Birt,116355,EclipseStarter.java,org.eclipse.core.runtime.adaptor.EclipseStarter,run,org.eclipse.core.runtime.adaptor.EclipseStarter,SQL Exception,,,,,RunTimeContext.java,,,handleException
Birt,116355,Native Method,sun.reflect.NativeMethodAccessorImpl,invoke0,sun.reflect.NativeMethodAccessorImpl,SQL Exception,,,,,AxesRenderer.java,,,<init>
Birt,116355,NativeMethodAccessorImpl.java,sun.reflect.NativeMethodAccessorImpl,invoke,sun.reflect.NativeMethodAccessorImpl,SQL Exception,,,,,Generator.java,,,<init>
Birt,116355,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,sun.reflect.DelegatingMethodAccessorImpl,SQL Exception,,,,,ResultObject.java,,,<init>
Birt,116355,Method.java,java.lang.reflect.Method,invoke,java.lang.reflect.Method,SQL Exception,,,,,ExprEvaluateUtil.java,,,newEmbedPreparedStatement
Birt,116355,Main.java,org.eclipse.core.launcher.Main,invokeFramework,org.eclipse.core.launcher.Main,SQL Exception,,,,,BindingColumnsEvalUtil.java,,,prepareStatement
Birt,116355,Main.java,org.eclipse.core.launcher.Main,basicRun,org.eclipse.core.launcher.Main,SQL Exception,,,,,ResultIterator.java,,,setEngineContext
Birt,116355,Main.java,org.eclipse.core.launcher.Main,run,org.eclipse.core.launcher.Main,SQL Exception,,,,,DataIterator.java,,,doGet
Birt,116355,Main.java,org.eclipse.core.launcher.Main,main,org.eclipse.core.launcher.Main,SQL Exception,,,,,DataExtractionTaskTest.java,,,service
Birt,116355,Connection.java,org.eclipse.birt.data.engine.odaconsumer.Connection,prepareOdaQuery,org.eclipse.birt.data.engine.odaconsumer.Connection,SQL Exception,,,,,TestCase.java,,,service
Birt,116355,Connection.java,org.eclipse.birt.data.engine.odaconsumer.Connection,prepareStatement,org.eclipse.birt.data.engine.odaconsumer.Connection,SQL Exception,,,,,TestResult.java,,,run
Birt,116355,DataSource.java,org.eclipse.birt.data.engine.executor.DataSource,prepareStatement,org.eclipse.birt.data.engine.executor.DataSource,SQL Exception,,,,,TestResult.java,,,invokeServlet
Birt,116355,DataSourceQuery.java,org.eclipse.birt.data.engine.executor.DataSourceQuery,prepare,org.eclipse.birt.data.engine.executor.DataSourceQuery,SQL Exception,,,,,TestSuite.java,,,execute
Birt,116355,PreparedExtendedDSQuery.java,org.eclipse.birt.data.engine.impl.PreparedExtendedDSQuery$ExtendedDSQueryExecutor,prepareOdiQuery,org.eclipse.birt.data.engine.impl.PreparedExtendedDSQuery$ExtendedDSQueryExecutor,SQL Exception,,,,,JUnit3TestReference.java,,,run
