Project,BugID,Filename,Path,Method name,,Exception,Label,,,Filename,,Method name,Exception
Hbase,HBASE-10142,Assert.java,org.junit.Assert,fail,,ClosedChannelException,,,,KeeperException.java,,<init>,TableStateManager$TableStateNotFoundException
Hbase,HBASE-10142,Assert.java,org.junit.Assert,assertTrue,,ClosedChannelException,,,,ZooKeeper.java,,instantiateHStore,WALClosedException
Hbase,HBASE-10142,DFSOutputStream.java,org.apache.hadoop.hdfs.DFSOutputStream,checkClosed,,ClosedChannelException,,,,RecoverableZooKeeper.java,,call,UncheckedIOException
Hbase,HBASE-10142,DFSOutputStream.java,org.apache.hadoop.hdfs.DFSOutputStream,getCurrentBlockReplication,,ClosedChannelException,,,,ZKUtil.java,,innerRun,NoServerDispatchException
Hbase,HBASE-10142,DFSOutputStream.java,org.apache.hadoop.hdfs.DFSOutputStream,getNumCurrentReplicas,,ClosedChannelException,,,,MasterAddressTracker.java,,run,CheckstyleException
Hbase,HBASE-10149,Assert.java,org.junit.Assert,fail,,AssertionError,,,,ZNodeClearer.java,,call,TimeoutIOException
Hbase,HBASE-10149,Assert.java,org.junit.Assert,assertTrue,,AssertionError,,,,HMasterCommandLine.java,,pickReaderVersion,LinkageError
Hbase,HBASE-10149,TestZKPermissionsWatcher.java,org.apache.hadoop.hbase.security.access.TestZKPermissionsWatcher,testPermissionsWatcher,,AssertionError,,,,ToolRunner.java,,createReaderWithEncoding,DocumentException
Hbase,HBASE-10193,HRegion.java,org.apache.hadoop.hbase.regionserver.HRegion,initializeRegionInternals,,IllegalArgumentException,,,,ServerCommandLine.java,,<init>,UnknownRegionException
Hbase,HBASE-10193,HRegion.java,org.apache.hadoop.hbase.regionserver.HRegion,initialize,,IllegalArgumentException,,,,HttpServer.java,,open,MergeRegionException
Hbase,HBASE-10193,HRegion.java,org.apache.hadoop.hbase.regionserver.HRegion,openHRegion,,IllegalArgumentException,,,,HttpServer.java,,createReader,WebAppException
Hbase,HBASE-10193,OpenRegionHandler.java,org.apache.hadoop.hbase.regionserver.handler.OpenRegionHandler,openRegion,,IllegalArgumentException,,,,MojoExecutor.java,,call,UnknownScannerException
Hbase,HBASE-10193,OpenRegionHandler.java,org.apache.hadoop.hbase.regionserver.handler.OpenRegionHandler,process,,IllegalArgumentException,,,,AbstractCompilerMojo.java,,checkFormatVersion,ProcedureWALFormat$InvalidWALDataException
Hbase,HBASE-10193,EventHandler.java,org.apache.hadoop.hbase.executor.EventHandler,run,,IllegalArgumentException,,,,CompilerMojo.java,,readFromStream,IllegalThreadStateException
Hbase,HBASE-10193,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,IllegalArgumentException,,,,DefaultBuildPluginManager.java,,compareTo,NotAllMetaRegionsOnlineException
Hbase,HBASE-10193,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,IllegalArgumentException,,,,Preconditions.java,,compare,InvalidProtocolBufferException$InvalidWireTypeException
Hbase,HBASE-10193,Thread.java,java.lang.Thread,run,,IllegalArgumentException,,,,CreateTableHandler.java,,compare,TableExistsException
Hbase,HBASE-10193,Store.java,org.apache.hadoop.hbase.regionserver.Store,loadStoreFiles,,IllegalArgumentException,,,,LifecycleModuleBuilder.java,,put,MalformedObjectNameException
Hbase,HBASE-10193,Store.java,org.apache.hadoop.hbase.regionserver.Store,<init>,,IllegalArgumentException,,,,MiniHBaseCluster.java,,put,ServerNotRunningException
Hbase,HBASE-10193,HRegion.java,org.apache.hadoop.hbase.regionserver.HRegion,instantiateHStore,,IllegalArgumentException,,,,MiniHBaseCluster.java,,update,SocketException
Hbase,HBASE-10193,HRegion.java,org.apache.hadoop.hbase.regionserver.HRegion$2,call,,IllegalArgumentException,,,,SplitTransaction.java,,call,KeeperException$BadVersionException
Hbase,HBASE-10193,FutureTask.java,java.util.concurrent.FutureTask$Sync,innerRun,,IllegalArgumentException,,,,SplitRequest.java,,fail,UnrecognizedOptionException
Hbase,HBASE-10193,FutureTask.java,java.util.concurrent.FutureTask,run,,IllegalArgumentException,,,,TestSplitTransactionOnCluster.java,,waitFor,NoRouteToHostException
Hbase,HBASE-10193,Executors.java,java.util.concurrent.Executors$RunnableAdapter,call,,IllegalArgumentException,,,,HashFunction.java,,waitFor,MultiException
Hbase,HBASE-10193,HFile.java,org.apache.hadoop.hbase.io.hfile.HFile,pickReaderVersion,,IllegalArgumentException,,,,Filter.java,,updateACLs,KeeperException$NodeExistsException
Hbase,HBASE-10193,HFile.java,org.apache.hadoop.hbase.io.hfile.HFile,createReaderWithEncoding,,IllegalArgumentException,,,,BloomFilter.java,,grantOnNamespace,InstanceAlreadyExistsException
Hbase,HBASE-10193,StoreFile.java,org.apache.hadoop.hbase.regionserver.StoreFile$Reader,<init>,,IllegalArgumentException,,,,HStoreFile.java,,beforeClass,LeaseExpiredException
Hbase,HBASE-10193,StoreFile.java,org.apache.hadoop.hbase.regionserver.StoreFile,open,,IllegalArgumentException,,,,HStoreFile.java,,setupIOstreams,MockitoException
Hbase,HBASE-10193,StoreFile.java,org.apache.hadoop.hbase.regionserver.StoreFile,createReader,,IllegalArgumentException,,,,CompactSplitThread.java,,getConnection,HBaseClient$CallTimeoutException
Hbase,HBASE-10193,Store.java,org.apache.hadoop.hbase.regionserver.Store$1,call,,IllegalArgumentException,,,,MapFile.java,,call,NoSuchFieldException
Hbase,HBASE-10193,HFile.java,org.apache.hadoop.hbase.io.hfile.HFile,checkFormatVersion,,IllegalArgumentException,,,,HBaseMapFile.java,,invoke,NumberFormatException
Hbase,HBASE-10193,FixedFileTrailer.java,org.apache.hadoop.hbase.io.hfile.FixedFileTrailer,readFromStream,,IllegalArgumentException,,,,BloomFilterMapFile.java,,getProtocolVersion,InvocationTargetException
Hbase,HBASE-10221,Bytes.java,org.apache.hadoop.hbase.util.Bytes,compareTo,,NullPointerException,,,,StoreFileScanner.java,,getProxy,ProjectBuildingException
Hbase,HBASE-10221,Bytes.java,org.apache.hadoop.hbase.util.Bytes$ByteArrayComparator,compare,,NullPointerException,,,,HStoreScanner.java,,waitForProxy,UnknownFormatConversionException
Hbase,HBASE-10221,TreeMap.java,java.util.TreeMap,compare,,NullPointerException,,,,HRegion.java,,getHRegionConnection,TableNotEnabledException
Hbase,HBASE-10221,TreeMap.java,java.util.TreeMap,put,,NullPointerException,,,,Unknown Source,,getCachedConnection,DirectoryNotEmptyException
Hbase,HBASE-10221,Collections.java,java.util.Collections$SynchronizedMap,put,,NullPointerException,,,,HbaseRPC.java,,getMetaServerConnection,MasterNotRunningException
Hbase,HBASE-10221,HTable.java,org.apache.hadoop.hbase.client.HTable$15,update,,NullPointerException,,,,Server.java,,waitForMeta,HBaseSnapshotException
Hbase,HBASE-10221,HTable.java,org.apache.hadoop.hbase.client.HTable$16,call,,NullPointerException,,,,RpcClient.java,,waitForMetaServerConnection,UnknownSnapshotException
Hbase,HBASE-10221,FutureTask.java,java.util.concurrent.FutureTask,run,,NullPointerException,,,,RpcClient.java,,verifyMetaRegionLocation,MissingFormatArgumentException
Hbase,HBASE-10221,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor,runWorker,,NullPointerException,,,,ClientProtos.java,,assignRootAndMeta,KeeperException$AuthFailedException
Hbase,HBASE-10221,ThreadPoolExecutor.java,java.util.concurrent.ThreadPoolExecutor$Worker,run,,NullPointerException,,,,ScannerCallable.java,,finishInitialization,JsonMappingException
Hbase,HBASE-10221,Thread.java,java.lang.Thread,run,,NullPointerException,,,,RpcRetryingCaller.java,,run,Shell$ExitCodeException
Hbase,HBASE-10267,Assert.java,junit.framework.Assert,fail,,AssertionFailedError,,,,TestEncodedSeekers.java,,testExceptionFromCoprocessorDuringPut,
Hbase,HBASE-10267,Waiter.java,org.apache.hadoop.hbase.Waiter,waitFor,,AssertionFailedError,,,,SecureWALCellCodec.java,,checkConnect,
