Bug ID,Commit Files
HBASE-1052,"* 2ab4b14572024428b78b62ff60e701462744ba7d HBASE-1052  Stopping a HRegionServer with unflushed cache causes data loss from org.apache.hadoop.hbase.DroppedSnapshotException
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java"
HBASE-10527,"* e05863f8e5b4be0d9f885862343b6c4841e94cd2 HBASE-10527 Token authentication fails with IBM JDK
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/token/AuthenticationTokenSecretManager.java"
HBASE-10537,"* 96a5ef91315916b1107bea4ab9d2f78865a3d875 HBASE-10537 Let the ExportSnapshot mapper fail and retry on error
  hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/ExportSnapshot.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestExportSnapshot.java"
HBASE-10548,"* 342571498a89f7b7a54af6e5105cc77740bd18e6 HBASE-10548 Correct commons-math dependency version
  hbase-server/src/test/java/org/apache/hadoop/hbase/PerformanceEvaluation.java
  pom.xml"
HBASE-10581,"* 3fe9d15c1861a465e7b715ed8ac2640b99c55bd4 HBASE-10581: ACL znode are left without PBed during upgrading hbase0.94* to hbase0.96+
  hbase-server/src/main/java/org/apache/hadoop/hbase/util/ZKDataMigrator.java"
HBASE-1059,"* 0f3838e1d1e5d0b058ec82ab7f71c3ae93e00efa HBASE-1059 ConcurrentModificationException in notifyChangedReadersObservers
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/regionserver/HStore.java"
HBASE-10608,"* 7a66576ff79102d98ca773bc3c7d9afa99fc44dc HBASE-10608 Acquire the FS Delegation Token for Secure ExportSnapshot (addendum)
  hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/LoadIncrementalHFiles.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/token/FsDelegationToken.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/ExportSnapshot.java
* 31b8b2d92b524a025ddc7dbf81f2d716a701d73c HBASE-10608 Acquire the FS Delegation Token for Secure ExportSnapshot
  hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/LoadIncrementalHFiles.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/token/FsDelegationToken.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/ExportSnapshot.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestExportSnapshot.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/snapshot/TestSecureExportSnapshot.java"
HBASE-10632,"* e196b203ac981c73638c2f116e29222749465ff4 HBASE-10632 Region lost in limbo after ArrayIndexOutOfBoundsException during assignment
  hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/BaseLoadBalancer.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestBaseLoadBalancer.java"
HBASE-10644,"* 05139ace5415390961c8ba833fe4b4af252fba08 HBASE-10644 TestSecureExportSnapshot#testExportFileSystemState fails on hadoop-1
  hbase-server/src/main/java/org/apache/hadoop/hbase/security/token/FsDelegationToken.java"
HBASE-10660,"* f032023ea5b457ea9a521e0bf754090f1de50e92 HBASE-10660 MR over snapshots can OOM when alternative blockcache is enabled
  hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/TableMapReduceUtil.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/TableSnapshotInputFormat.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/mapreduce/TestTableMapReduceUtil.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/mapreduce/TestTableSnapshotInputFormat.java"
HBASE-10677,"* 1500ae943863995d6d1520537254dc9942fd734b HBASE-10677 boundaries check in hbck throwing IllegalArgumentException(Rajesh)
  hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/util/TestHBaseFsck.java"
HBASE-10685,"* f5d80e75963d31a4226ec5ea58858dc23074d12d HBASE-10685 [WINDOWS] TestKeyStoreKeyProvider fails on windows
  hbase-common/src/test/java/org/apache/hadoop/hbase/io/crypto/TestKeyStoreKeyProvider.java"
HBASE-10686,"* 617235b95357c5cfaf06710401d98eaee9572e6a HBASE-10686 [WINDOWS] TestStripeStoreFileManager fails on windows
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestStripeStoreFileManager.java"
HBASE-10705,"* 60cac497201c94e74e1a120030bc2822acc2fe7d HBASE-10705 CompactionRequest#toString() may throw NullPointerException (Rekha Joshi)
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/CompactionRequest.java"
HBASE-10718,"* b22548ff0601349c72545daad006c734cc5aaf42 HBASE-10718 TestHLogSplit fails when it sets a KV size to be negative (Esteban Gutierrez)
  hbase-common/src/main/java/org/apache/hadoop/hbase/KeyValue.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/TestSerialization.java"
HBASE-10726,"* f4ee8a05eae6a8b15fb31411155c54dee45a4e14 HBASE-10726 Fix java.lang.ArrayIndexOutOfBoundsException in StochasticLoadBalancer (Enis Soztutar)
  hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestBaseLoadBalancer.java"
